date,preco_cafe,cambio_brl,geada_risco_Machado,geada_risco_Manhuacu,geada_risco_Patrocinio,geada_risco_Varginha,graus_frio_Machado,graus_frio_Manhuacu,graus_frio_Patrocinio,graus_frio_Varginha,precip_mm_sum_Machado,precip_mm_sum_Manhuacu,precip_mm_sum_Patrocinio,precip_mm_sum_Varginha,pressao_mB_mean_Machado,pressao_mB_mean_Manhuacu,pressao_mB_mean_Patrocinio,pressao_mB_mean_Varginha,radiacao_kJm2_sum_Machado,radiacao_kJm2_sum_Manhuacu,radiacao_kJm2_sum_Patrocinio,radiacao_kJm2_sum_Varginha,temp_ar_C_mean_Machado,temp_ar_C_mean_Manhuacu,temp_ar_C_mean_Patrocinio,temp_ar_C_mean_Varginha,temp_max_C_max_Machado,temp_max_C_max_Manhuacu,temp_max_C_max_Patrocinio,temp_max_C_max_Varginha,temp_min_C_min_Machado,temp_min_C_min_Manhuacu,temp_min_C_min_Patrocinio,temp_min_C_min_Varginha,umidade_pct_mean_Machado,umidade_pct_mean_Manhuacu,umidade_pct_mean_Patrocinio,umidade_pct_mean_Varginha,vento_rajada_ms_max_Machado,vento_rajada_ms_max_Manhuacu,vento_rajada_ms_max_Patrocinio,vento_rajada_ms_max_Varginha,vento_vel_ms_mean_Machado,vento_vel_ms_mean_Manhuacu,vento_vel_ms_mean_Patrocinio,vento_vel_ms_mean_Varginha
2020-08-03,117.9000015258789,5.221199989318848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,914.3805555555555,931.5555555555557,913.561111111111,917.3125,53754.6,60328.5,49893.0,53796.1,17.009722222222223,15.661111111111111,16.41111111111111,16.968055555555555,23.6,24.1,25.8,24.7,11.2,6.1,7.4,9.7,59.291666666666664,74.83333333333333,67.90277777777777,58.05555555555555,6.6000000000000005,7.0,7.0,9.766666666666667,1.3847222222222222,1.508333333333333,0.48055555555555557,2.0749999999999997
2020-08-04,121.0500030517578,5.318699836730957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.55,932.8833333333332,914.7458333333334,918.5208333333334,19761.2,24724.1,19858.9,20313.0,16.858333333333334,15.4375,14.8125,17.025000000000002,24.5,24.0,25.2,25.0,9.6,7.8,7.5,8.8,46.79166666666666,70.125,61.583333333333336,50.333333333333336,6.6,8.2,9.5,9.6,1.7375,1.6666666666666667,0.4041666666666666,2.2583333333333333
2020-08-05,121.5500030517578,5.290200233459473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.2333333333332,932.5416666666666,914.1458333333334,918.275,19707.0,25022.1,19901.0,20347.4,16.675,15.954166666666666,15.183333333333332,16.641666666666666,23.5,23.5,25.4,24.4,10.9,9.1,8.0,9.3,54.79166666666666,68.79166666666667,64.0,55.54166666666666,7.7,8.7,7.9,11.5,2.1333333333333333,1.7916666666666667,0.6291666666666667,2.2375000000000003
2020-08-06,117.0,5.290900230407715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.625,932.0166666666668,913.6833333333334,917.6166666666668,19713.3,23465.6,19970.5,20355.0,16.645833333333332,15.033333333333331,15.120833333333332,16.583333333333332,23.7,23.5,25.1,25.1,11.1,7.5,8.2,9.6,54.75,69.04166666666667,63.375,55.04166666666666,8.4,9.2,6.5,9.2,1.6083333333333334,1.9625,0.5333333333333333,2.6166666666666667
2020-08-07,115.4499969482422,5.331299781799316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,914.1583333333332,931.9375,913.5166666666668,917.0875,19818.0,23008.4,19039.2,20279.6,17.070833333333333,14.883333333333333,16.5125,17.1125,23.8,24.0,25.4,25.7,10.4,8.2,7.8,8.3,55.04166666666666,74.66666666666667,66.54166666666667,53.958333333333336,14.7,10.5,9.8,9.9,1.3208333333333333,2.245833333333333,0.8583333333333334,1.9791666666666667
2020-08-10,112.5999984741211,5.43720006942749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,911.8861111111111,929.4611111111111,911.4180555555555,914.8861111111113,50007.4,57239.2,44194.0,42359.899999999994,18.163888888888888,16.659722222222225,17.815277777777776,17.211111111111112,25.6,25.2,25.9,25.3,11.7,10.8,10.8,9.2,52.80555555555555,75.2638888888889,58.55555555555555,58.11111111111111,8.333333333333334,7.433333333333334,8.066666666666668,8.466666666666667,1.538888888888889,1.375,0.5625,1.8166666666666667
2020-08-11,111.3499984741211,5.480500221252441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,908.3875,926.175,908.0041666666666,911.4416666666666,19075.6,14194.7,18823.7,20741.9,19.3,17.183333333333334,18.066666666666663,18.204166666666666,26.2,22.8,28.5,26.4,13.4,13.8,8.3,9.7,48.79166666666666,82.95833333333333,58.5,54.04166666666666,6.7,6.0,7.5,7.1,1.3125,1.5541666666666665,0.6666666666666666,1.4666666666666668
2020-08-12,112.0500030517578,5.38040018081665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,907.15,925.5333333333332,907.0083333333332,910.175,19357.0,10077.0,19091.0,19247.3,19.508333333333333,17.508333333333333,19.5,18.508333333333333,26.3,21.8,27.2,27.2,11.2,14.9,11.7,9.9,51.16666666666666,85.41666666666667,56.0,57.833333333333336,9.2,5.0,8.9,8.3,1.5916666666666668,1.3458333333333334,1.1625,1.525
2020-08-13,116.1999969482422,5.434999942779541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.8208333333332,925.4791666666666,907.0791666666668,909.8541666666666,18051.2,14272.2,19112.4,17744.6,20.8125,18.741666666666667,19.995833333333334,20.39583333333333,27.8,25.8,29.4,28.9,14.7,15.2,12.1,12.0,55.583333333333336,77.20833333333333,59.625,60.0,7.8,8.2,10.7,8.7,1.6083333333333334,2.125,1.65,2.0166666666666666
2020-08-14,114.6999969482422,5.367000102996826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.0708333333332,924.2541666666666,906.1625,909.1166666666668,19157.4,22678.9,19606.9,19565.8,21.558333333333334,18.65833333333333,21.2,21.1375,27.6,27.6,29.4,29.1,15.4,11.8,13.7,14.0,56.66666666666666,74.04166666666667,55.083333333333336,57.41666666666666,7.2,13.3,8.6,6.5,1.5375,1.6875,1.5666666666666669,1.7875
2020-08-17,115.5500030517578,5.42080020904541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.7791666666667,923.4208333333332,905.275,908.7458333333334,40860.1,64762.600000000006,57084.2,42598.6,20.461111111111112,19.694444444444443,21.727777777777778,20.237499999999997,28.7,29.1,31.5,28.9,15.7,12.6,11.1,14.4,63.791666666666664,73.2638888888889,53.736111111111114,63.833333333333336,9.433333333333332,9.533333333333333,10.5,8.533333333333333,2.191666666666667,1.7263888888888888,1.3208333333333335,2.202777777777778
2020-08-18,119.3000030517578,5.508299827575684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.75,923.7291666666666,905.075,908.7291666666666,15214.2,23118.2,18996.4,17897.0,21.075,20.679166666666667,22.25,20.8875,28.0,27.5,30.6,30.2,15.8,16.1,13.9,13.7,62.66666666666666,74.41666666666667,59.54166666666666,64.45833333333333,9.0,10.2,10.0,10.2,2.95,2.783333333333333,1.7833333333333334,2.3583333333333334
