date,preco_cafe,cotacao_dolar,index,chuva,temp,temp_max,temp_min,umidade
2012-10-17,161.5,2.033400058746338,290,1.4,19.016666666666666,23.3,16.8,73.5
2012-10-18,158.60000610351562,2.029900074005127,291,0.0,21.304166666666667,29.7,14.8,67.375
2012-10-19,161.64999389648438,2.0260000228881836,292,0.0,22.495833333333337,29.9,16.3,58.583333333333336
2012-10-22,164.5,2.0260000228881836,295,0.0,24.1125,31.5,18.1,61.25
2012-10-23,160.85000610351562,2.0230000019073486,296,3.0,22.504166666666663,30.4,18.5,73.0
2012-10-24,159.8000030517578,2.025399923324585,297,13.0,21.54583333333333,29.0,17.4,79.375
2012-10-25,161.0,2.0241000652313232,298,0.0,24.59583333333333,31.8,17.4,62.875
2012-10-26,157.75,2.0239999294281006,299,0.0,25.962499999999995,32.7,18.4,55.0
2012-10-31,154.64999389648438,2.0290000438690186,304,0.0,26.316666666666663,35.2,18.4,52.5
2012-11-01,153.4499969482422,2.027899980545044,305,2.2,25.033333333333328,32.8,19.6,58.91666666666666
2012-11-02,154.6999969482422,2.0295000076293945,306,5.4,20.475,24.3,17.5,87.375
2012-11-05,150.89999389648438,2.0288000106811523,309,0.0,22.774999999999995,30.1,17.5,69.20833333333333
2012-11-06,150.60000610351562,2.0341999530792236,310,0.0,22.1875,29.4,16.9,63.66666666666666
2012-11-07,151.1999969482422,2.029099941253662,311,0.6,21.65833333333333,28.7,16.8,72.70833333333333
2012-11-08,151.39999389648438,2.0329999923706055,312,0.0,20.929166666666664,26.2,16.7,73.25
2012-11-09,149.89999389648438,2.0371999740600586,313,48.2,20.325,23.3,18.5,86.58333333333333
2012-11-12,153.0500030517578,2.0445001125335693,316,0.0,22.304166666666674,27.4,19.1,80.33333333333333
2012-11-13,146.0,2.049299955368042,317,8.399999999999999,20.8375,24.4,19.5,94.25
2012-11-14,147.6999969482422,2.0571999549865723,318,0.0,19.27083333333333,23.3,15.9,85.20833333333333
2012-11-15,149.0,2.063699960708618,319,0.2,19.066666666666663,26.1,14.7,83.33333333333333
2012-11-16,147.3000030517578,2.0648000240325928,320,0.0,20.149999999999995,26.5,16.9,80.125
2012-11-19,151.39999389648438,2.0806000232696533,323,0.0,20.979166666666668,26.7,15.8,67.875
2012-11-20,143.75,2.077199935913086,324,8.799999999999999,20.64166666666667,26.0,18.0,81.5
2012-11-21,144.8000030517578,2.080199956893921,325,0.8,21.258333333333336,29.7,13.9,67.45833333333333
2012-11-23,142.14999389648438,2.103300094604492,327,0.0,24.19583333333333,31.1,16.3,56.375
2012-11-26,139.89999389648438,2.0801000595092773,330,0.2,21.42916666666667,26.0,17.0,76.875
2012-11-27,139.8000030517578,2.0813000202178955,331,0.0,21.837499999999995,27.4,18.0,79.0
2012-11-28,144.64999389648438,2.0829999446868896,332,10.6,22.08333333333333,28.2,17.4,81.5
